song_name,artist,danceability,energy,valence,tempo
Preciso Amar De Novo / Hoje Eu Quero Te Amar,PH e Michel;Hugo & Guilherme,0.594,0.743,0.714,120.0
"Good Golly, Miss Molly",Little Richard,0.563,0.741,0.967,164.15
上ヲ向イテ,AK-69,0.64,0.844,0.345,83.951
Sem Esse Coração - Ao Vivo,João Bosco & Vinicius;Diego & Victor Hugo,0.595,0.713,0.55,135.831
Crown of Talons,Conan,0.381,0.382,0.0945,104.286
Where Does Love Go,Synymata;Elle Vee,0.463,0.568,0.0532,170.067
Say My Name,Damon Hess,0.798,0.975,0.754,124.008
Bei Nacht,Samo104,0.702,0.67,0.151,86.017
暖暖,Fish Leong,0.666,0.599,0.645,104.039
Por Aqui,Cynthia Luz;Dalsin,0.674,0.511,0.374,80.046
Here's Your Perfect,Jamie Miller,0.558,0.454,0.424,113.12
疾風伝,Yasuharu Takanashi,0.431,0.9,0.45,155.075
Casualidad,Nacho;Ozuna,0.835,0.855,0.867,101.067
Desde el Alma,Francisco Canaro;Nelly Omar,0.448,0.342,0.714,100.526
Run Honey Run (feat. Bradley Burgess),Morcheeba;Bradley Burgess,0.623,0.606,0.204,87.979
All Or Nothing,Atmozfears;Code Black;Toneshifterz,0.518,0.846,0.249,149.947
Paradise Valley,Jay Daniel,0.788,0.887,0.405,117.813
I Ain't Worried,OneRepublic,0.704,0.797,0.825,139.994
Baroni,Amadou & Mariam,0.632,0.69,0.824,133.015
Rocket to the Moon,Pepita Slappers,0.489,0.793,0.607,94.992
A Vos Amigo,Almafuerte,0.403,0.916,0.443,129.051
Beyond The Dance,Rhythim Is Rhythim;Derrick May;Mayday,0.74,0.994,0.552,127.366
Complicated (feat. Kiiara),Dimitri Vegas & Like Mike;David Guetta;Dimitri Vegas;Kiiara,0.678,0.819,0.499,90.004
The Age of Love,Scooter,0.534,0.983,0.195,140.545
Coppelia: Act I - Valse,Léo Delibes;Slovak Radio Symphony Orchestra;Andrew Mogrelia,0.198,0.0313,0.189,88.813
Hijo de la Luna (En Vivo),Ana Torroja;Sentidos Opuestos,0.421,0.662,0.167,80.032
Sunshine,Samiam,0.533,0.967,0.455,111.406
海に来て,Yumi Matsutoya,0.708,0.714,0.585,104.185
TrapStar,Julianno Sosa,0.861,0.648,0.34,121.942
Flyg du lilla fjäril,Håkan Hellström,0.416,0.451,0.437,145.181
Time of My Life,The Righteous Brothers,0.507,0.825,0.449,111.217
Creo (La voz dormida parte II),Mägo de Oz,0.336,0.46,0.211,119.881
"¡Qué Suerte, Qué Risa!",Canticuénticos,0.592,0.422,0.573,69.8
Surrounded (Fight My Battles),Bethel Music;Kari Jobe,0.398,0.208,0.132,129.682
No Nation On This Earth,Primordial,0.0954,0.869,0.137,89.08
Ещё один романс,Oleg Pogudin,0.403,0.328,0.198,87.821
Just Wanted To Know,Röyksopp;Astrid S,0.66,0.592,0.645,91.026
Sepasang Pendaki,Fiersa Besari,0.754,0.394,0.428,120.096
Back Side Of The Moon,The Orb,0.292,0.568,0.218,119.817
Winter Wonderland,Sugarland,0.587,0.876,0.724,133.01
Reviver - Totally Enormous Extinct Dinosaurs Remix,Lane 8;Totally Enormous Extinct Dinosaurs,0.507,0.83,0.711,160.017
Kardia Koita,George Perris;George Dalaras,0.582,0.45,0.579,91.84
Cut Me Open,Balance And Composure,0.214,0.976,0.336,157.007
Brilliant Clouds,Max Richter,0.172,0.0109,0.0305,81.261
"Get Up, Stand Up",The Wailers,0.799,0.572,0.828,77.751
Work It Out,Voicemail,0.716,0.679,0.605,97.979
You Am I,Static-X,0.483,0.955,0.129,197.957
Jalsa Jalsa,Baba Sehgal;Rita,0.922,0.906,0.808,111.963
Higher - FJAAK Remix,Amelie Lens;FJAAK,0.747,0.749,0.0446,135.986
The Sweetest Taboo,Sade,0.752,0.823,0.962,91.563
シンガロン・シンガソン,Shiritsu Ebisu Chugaku,0.502,0.924,0.593,172.967
Too Young to Die - Pineapple & Palm Tree Mix,TOOMANYLEFTHANDS,0.627,0.876,0.418,111.95
Trí Fhidilí,Mairead Nesbitt,0.511,0.512,0.823,104.493
Snow (Hey Oh),Red Hot Chili Peppers,0.427,0.9,0.599,104.655
Lucid Dream,Oatmello,0.801,0.335,0.0388,77.998
"Where We Belong - From ""Hostiles"" Soundtrack",Max Richter;Air Lyndhurst Orchestra,0.181,0.135,0.0307,67.438
Mustaschen,Cool Candys,0.723,0.819,0.964,111.341
Ice Cold,Tube & Berger;Armaja,0.739,0.723,0.429,124.03
Eu Navegarei,Kemuel,0.403,0.267,0.26,92.052
夢へのルート(Team 8),AKB48,0.437,0.958,0.522,152.038
Salgo,Bayron Fire,0.664,0.893,0.773,104.007
Amelitango,Astor Piazzolla,0.54,0.34,0.63,121.449
Free Again,DJ Zinc,0.56,0.879,0.57,127.038
Fågelkvitter,Avslappning Sound,0.149,0.0222,0.0382,91.881
Nit Nit,Jasleen Royal,0.442,0.412,0.235,176.019
Protest Songs,Ankle Grease,0.37,0.703,0.482,143.848
Novi Sad,Lost Fables,0.151,0.00804,0.0276,135.61
Solider Schlafinkubator,Weißes Rauschen HD,0.138,0.628,1e-05,139.633
Sval,Jaleh Negari,0.0663,0.00125,0.0266,78.273
The Dolphin's Cry - Live,Live,0.16,0.864,0.34,160.067
AfterLife,Five Finger Death Punch,0.472,0.989,0.327,93.985
Redrum / Outro,Mortician,0.192,0.655,0.157,158.341
Ocean Planet,Gojira,0.316,0.917,0.183,112.035
Happy New Year,Benny Andersson,0.383,0.0654,0.173,129.009
Tujhe Sochta Hoon,Pritam;KK,0.579,0.712,0.486,80.998
Hello Edinburgh,Greg Proops,0.426,0.947,0.184,91.547
Grande É o Senhor,Gabriel Brito,0.55,0.591,0.154,140.138
District Six - Live,Hugh Masekela,0.778,0.711,0.858,108.127
Fiance,Jim Florentine;Don Jamieson,0.698,0.814,0.157,131.549
Final Extreme,War Angel,0.412,0.866,0.21,179.854
Campus,Vampire Weekend,0.639,0.704,0.645,162.983
"The Seventh Stranger - Live at Oakland Coliseum, Oakland, CA, 14/04/1984; 2004 Remaster",Duran Duran,0.48,0.795,0.376,86.708
Judgment Day,Five Finger Death Punch,0.528,0.929,0.509,148.089
"Blaze Of Glory - From ""Young Guns II"" Soundtrack",Jon Bon Jovi,0.55,0.618,0.429,78.61
Bir Gülü Sevdim,Zeki Müren,0.323,0.41,0.525,95.451
Wake Me Up,Avicii,0.532,0.783,0.643,124.08
Wieder alles im Griff,Jürgen Drews;Giovanni Zarrella,0.701,0.974,0.875,128.581
Scourge of Iron,Cannibal Corpse,0.446,0.977,0.339,172.059
Drinkin' Buddies,Railbenders,0.693,0.692,0.484,120.006
Better Together,North Polo,0.672,0.696,0.618,85.005
Breathless,Tony Junior;Futuristic Polar Bears;Skazi,0.323,0.956,0.0467,133.605
Stiches,William Singe,0.644,0.337,0.206,139.966
Toma! Mega Rave,DJ Ghost Floripa,0.892,0.56,0.692,129.981
La Flor Azul,Divididos,0.463,0.677,0.754,89.581
Two Women,Tatiana and Sergey Nikitin,0.679,0.175,0.646,124.477
Your Hands (Together),The New Pornographers,0.324,0.528,0.47,150.721
"En Marcha Estoy (From ""Tierra De Osos"")",Adrian Barba,0.481,0.658,0.541,203.994
Corazones Rojos,Los Prisioneros,0.775,0.507,0.752,92.229
Morning Lemon,The Chemical Brothers,0.802,0.535,0.961,125.014
Reviver,Lane 8,0.523,0.715,0.232,122.992
Heart and Soul - Remastered,Floyd Cramer,0.556,0.597,0.911,106.909
His Dark Materials,Lorne Balfe,0.303,0.526,0.575,85.676
Khudi,The Local Train,0.626,0.79,0.539,127.039
Dunken,Krymplings,0.353,0.906,0.55,114.331
Better Days,Dermot Kennedy,0.68,0.553,0.352,99.999
The Living Will Envy the Dead,We Are Magonia,0.468,0.838,0.212,114.9
愛しい人よGood Night…,B'z,0.448,0.671,0.279,88.014
春愁,Mrs. GREEN APPLE,0.724,0.444,0.739,129.962
Mazha,Rohit Matt;Marthyan,0.731,0.506,0.228,93.947
Deus do Impossível,Aline Barros,0.422,0.412,0.231,105.235
"Tumse Bhi Zyada (From ""Tadap"")",Pritam;Arijit Singh,0.511,0.816,0.688,89.018
Roop Tera Mastana,Kishore Kumar;S. D. Burman,0.449,0.53,0.543,83.362
GATÚBELA,KAROL G;Maldy,0.627,0.858,0.342,92.523
Kalbime Gömüyorum - Live,Tan Taşçı,0.558,0.522,0.381,141.871
Rotunda,Surgeon,0.724,0.941,0.219,134.312
I Against I,Massive Attack;Mos Def,0.677,0.524,0.265,100.007
Rear View,LANKS,0.668,0.465,0.0686,139.915
Se Dice De Mi,Tita Merello;Francisco Canaro Y Su Orquesta Tipica,0.594,0.475,0.454,128.281
Kandu Kandu,Sujatha,0.656,0.642,0.62,100.085
Vai Derramando - Ao Vivo,Henrique & Juliano,0.615,0.65,0.511,107.436
Passing Time - Remastered 2003,Clannad,0.602,0.47,0.29,93.503
Julia,Our Lady Peace,0.468,0.939,0.509,116.218
Fall in Love,Bailey Zimmerman,0.524,0.643,0.397,135.962
Do Alto da Pedra,Rosa de Saron,0.538,0.757,0.298,123.914
Dil Mera Tod Diya,Alka Yagnik,0.591,0.804,0.673,107.05
Levels,Sidhu Moose Wala;Sunny Malton;The Kidd,0.592,0.728,0.577,113.17
Waiting for Superman,Daughtry,0.555,0.682,0.383,105.987
Remember Me,Alex Gaudino;Bottai;Moncrieff;Blush,0.73,0.877,0.181,110.008
I Want You Back (Glee Cast Version),Glee Cast,0.686,0.817,0.793,107.004
This Night,Superchunk,0.555,0.926,0.694,130.042
Cliente Preferencial (Um Modão Atrás Do Outro) - Ao Vivo,George Henrique & Rodrigo,0.798,0.694,0.747,145.902
Company - Original Broadway Cast: Someone Is Waiting,Stephen Sondheim;Dean Jones;Harold Hastings,0.232,0.362,0.257,166.767
Nada Me Separa Desse Amor,J Neto,0.488,0.32,0.705,81.871
Cocaína,Sabotage;Sombra;Bastardo,0.901,0.708,0.805,90.978
It Was Me,Germaine Franco,0.37,0.0798,0.182,53.164
Synth City,Dimension,0.476,0.961,0.458,173.972
Never Ending,Lvne;EE,0.684,0.52,0.454,117.122
Lys (feat. Menke),Christian Löffler;Menke,0.695,0.351,0.177,116.999
No Limits,Zayde Wølf,0.549,0.875,0.389,102.025
Game Over,Paul Kalkbrenner;Florian Appl,0.73,0.669,0.534,125.019
Love Me Now (feat. Zoe Wees),Kygo;Zoe Wees,0.662,0.489,0.506,102.04
Adhoore,Vishal Dadlani;Alyssa Mendonsa,0.799,0.542,0.673,107.993
Ignorance and Apathy,Terrorizer,0.489,0.996,0.14,107.449
"No Corro, No Grito, No Empujo",Triciclo Circus Band,0.752,0.627,0.925,145.963
Asesíname,Charly García,0.491,0.674,0.342,93.085
Mamãe que é Mamãe (Versão Grave),Os Barões Da Pisadinha,0.719,0.753,0.777,171.999
C’est moi,Koba LaD,0.824,0.716,0.506,130.035
Tur Kalleyan,Pritam;Shadab Faridi;Altamash Faridi;Arijit Singh,0.434,0.532,0.25,84.895
Doce Refúgio / Caciqueando,Grupo Fundo De Quintal,0.382,0.746,0.8,107.495
Ring Around the Rosie,The Kiboomers,0.873,0.487,0.772,135.018
Cariño,Galy Galiano,0.662,0.53,0.458,87.971
The Beauty in Black,Therion,0.43,0.576,0.377,78.236
Aasman Ko Chukar,Daler Mehndi;Hrishikesh;Neuman;FRANCO;Shazneen Arethna;Samantha;Sunayana,0.536,0.438,0.127,144.626
Gimme Some Lovin' - Single Mix,The Spencer Davis Group,0.598,0.564,0.43,147.619
Porque,Los Baby's,0.723,0.318,0.439,112.157
High Speed Daddy,John Lindberg Trio,0.342,0.896,0.745,205.661
"Mother Of God, Here I Stand",John Tavener;Voces8,0.128,0.0392,0.0381,73.166
Schizophrenia,ZABO,0.795,0.848,0.251,94.993
Snow (Hey Oh),Goldbird;Offmind,0.603,0.714,0.736,113.917
Not a Lovesong,The Bones,0.416,0.963,0.429,160.121
In the Club with Bob,Hadi Bastani,0.222,0.116,0.0399,86.919
Drown,Dabin;Mokita,0.368,0.754,0.281,169.881
Abre um Sorriso pra Mim - Ao Vivo,Sabrina Lopes;MAR ABERTO,0.809,0.388,0.502,121.959
Wish You Well,Porsche Love,0.607,0.466,0.175,97.025
The Walls Are Way Too Thin,Holly Humberstone,0.763,0.599,0.614,122.802
再殺一個人 - Live,my little airport,0.528,0.567,0.333,77.885
"Não É Conselho, É Visão",KayBlack;MC Ryan SP;Nagalli;WEY,0.687,0.707,0.463,90.26
Falando Segredo / Mande um Sinal - Ao Vivo,Akatu,0.473,0.827,0.694,97.93
Rockets,The Infamous Stringdusters,0.526,0.576,0.424,119.924
Toi - Boris Brejcha Remix,Worakls;Boris Brejcha,0.822,0.429,0.165,124.992
Magic of Love - Level3-mix,Perfume,0.546,0.968,0.937,127.996
Ding-Dong! The Witch Is Dead,Ella Fitzgerald,0.626,0.248,0.639,80.542
Saber Voar,Chimarruts,0.854,0.305,0.399,119.928
På en buss,Veronica Maggio,0.695,0.361,0.148,102.001
Back to You,Flower Face,0.389,0.202,0.187,83.019
Swapn Sunehere,Bombay Jayashri;Swetha Raj,0.268,0.108,0.331,82.176
Bloco Poesia Acústica: Poesia 6 / Aurora Boreal (Ao Vivo em Goiânia),Kamisa 10,0.693,0.907,0.717,94.966
CONCRETE JUNGLE,Bad Omens,0.551,0.841,0.451,91.966
On Line,Elephant Man,0.629,0.805,0.886,120.203
Beaks of Eagles,Kelpe,0.615,0.517,0.644,95.08
Sem Explicação (Ao Vivo),Calcinha Preta,0.521,0.811,0.68,164.082
¿Dónde Están Corazón?,Coti;Enrique Iglesias,0.66,0.506,0.722,83.968
Attila - Oltre a quel limite t'attendo,Giuseppe Verdi;Vincenzo Ciliberti,0.287,0.482,0.399,122.567
Ref:rain,Aimer,0.472,0.672,0.313,77.982
Match in the Rain,Alec Benjamin,0.777,0.716,0.829,120.052
Shiddat Title Track,Manan Bhardwaj,0.489,0.625,0.439,149.921
Nopalitos,Kid Francescoli,0.607,0.583,0.166,125.005
Totoro Talk (To Me),Blackburri,0.723,0.304,0.445,140.023
Eve Of Destruction - KOKOKO! Remix,The Chemical Brothers;KOKOKO!,0.82,0.919,0.369,94.511
Honesty,Pink Sweat$,0.66,0.139,0.312,79.975
Lo/Hi,The Black Keys,0.606,0.679,0.707,122.016
Aqua,Secret Frequency Crew,0.64,0.577,0.143,139.95
"Flightless Bird, American Mouth",Iron & Wine,0.369,0.403,0.177,154.899
Many Shades Of Black - Performed by The Raconteurs and Adele,Adele;The Raconteurs,0.409,0.71,0.438,95.248
J’ai Zappé,Lara Fabian,0.519,0.662,0.282,91.581
Pump It - Skip The Bass Mixx,Fast Eddie,0.936,0.827,0.963,128.087
Ariwoko,Chico Mann;Captain Planet,0.72,0.837,0.922,81.997
Ferguson Yankee,Kathleen Madigan,0.426,0.85,0.539,81.6
See You Again,Seven Lions;Jason Ross;Fiora,0.248,0.588,0.0382,150.419
My Better Me,Lord Of The Lost,0.507,0.368,0.284,115.79
João Viu,Lauriete,0.52,0.811,0.501,141.874
Walking to Adachi,Nathan Kawanishi,0.833,0.432,0.237,108.676
El universo sobre mí,Amaral,0.391,0.837,0.434,185.992
Out of Body Experience - Globe All Mix,Rabbit In The Moon;Tori Amos,0.657,0.954,0.332,134.996
Frühstücksfragen,Germaine Franco,0.497,0.102,0.12,127.724
"Stillborn, Fuck It",Despise You,0.2,0.981,0.298,104.294
Captivating,Neilio,0.643,0.923,0.547,150.989
Gül Bebeğim,Barış Manço,0.595,0.43,0.643,144.132
Guardian angel,XXXTENTACION,0.712,0.374,0.779,133.952
Get Up and Dance,Mini Pop Kids,0.667,0.86,0.748,128.006
Return To Windy Mountain,Sideline,0.616,0.698,0.61,115.05
Who Took The Merry Out Of Christmas,The Staple Singers,0.609,0.485,0.736,101.611
La Sandunga,Mexican Music Factory;Felipe Gutierrez,0.791,0.379,0.81,165.111
Meu Deus,Unha Pintada,0.74,0.632,0.697,137.011
Amar-Te Mais,Davidson Silva,0.456,0.541,0.205,139.984
Não Deixe o Samba Morrer - Ao Vivo,Sambô;Luciana Mello,0.552,0.826,0.638,136.572
Rondando Tu Esquina,Los Solitarios,0.583,0.705,0.875,110.551
Silencio,Jorge Drexler,0.887,0.568,0.127,127.923
Let's Roll,Krafty Kuts,0.765,0.87,0.653,134.025
Estamos Hartos,Riff,0.414,0.253,0.0939,131.424
Roxanne - Remastered 2003,The Police,0.615,0.752,0.66,133.977
Bomb A Drop,Garmiani,0.675,0.992,0.483,128.034
Never Fall in Love with an Elf,Amy Spanger,0.592,0.274,0.434,111.253
Johnny Johnny Yes Papa (Trap Remix),Pj Panda;ML3V LLC,0.796,0.432,0.417,135.06
Never Again,Royal Headache,0.176,0.753,0.47,102.101
醉梦前尘,林志炫,0.468,0.489,0.254,79.998
Amor Descartable,Virus,0.785,0.857,0.913,125.218
Enlil,Little Symphony,0.265,0.124,0.371,100.861
Kyouran Hey Kids but is it okay if it's lofi?,Kijugo,0.803,0.58,0.79,125.017
Outerspace Chick,Texabilly Rockets,0.526,0.969,0.872,88.322
Pray For It,One True God,0.763,0.855,0.531,121.018
Me Hiciste un Borracho,Edwin Luna y La Trakalosa de Monterrey,0.547,0.577,0.776,169.853
Hi-Potent,Roni Size;Reprazent,0.552,0.967,0.364,164.843
Sta Hronia Tis Ipomonis,George Dalaras,0.572,0.619,0.842,177.644
Sky High,Elektronomia,0.592,0.956,0.193,128.084
Que Tal,Leandro Borges;Midian Lima,0.63,0.436,0.356,106.055
Zumbis Tubarões do Dia das Bruxas,Pinkfong,0.734,0.541,0.732,98.119
I'll Be Home for Christmas,Connie Francis,0.248,0.218,0.202,84.017
Pede que Eu Te Dou (feat. Mc Dricka),Biu do Piseiro;Mc Dricka,0.754,0.946,0.951,172.995
Medley: When You're Smiling / Who Were You with Last Night / Margie,Mrs Mills,0.634,0.646,0.949,113.183
"La bohème, SC 67 / Act 4: ""Vecchia zimarra, senti""",Giacomo Puccini;Nicolai Ghiaurov;Gianni Maffeo;Berliner Philharmoniker;Herbert von Karajan,0.264,0.106,0.0621,79.281
Here We Go,Armando,0.918,0.947,0.739,130.388
Rumor Has It / Hangman's Tree,Oliver Wallace,0.424,0.0927,0.28,86.623
Fire - Sunrise Version,The Prodigy,0.747,0.72,0.951,140.028
El Ropero - (Remasterizado),Cri-Cri,0.587,0.202,0.374,119.544
Going Crazy,The Marked Men,0.287,0.93,0.744,169.602
"20 Questions - From ""Bergman’s Reliquary""",Veronica Maggio,0.713,0.624,0.481,110.002
Amen,I AM THEY,0.516,0.634,0.0921,76.994
Discovery At Night,Ludovico Einaudi,0.295,0.0326,0.0999,124.728
Light of the Seven,Ramin Djawadi,0.273,0.102,0.0583,120.378
Xanadu,Company,0.583,0.7,0.524,126.669
Força Estranha - Versão Remasterizada,Roberto Carlos,0.617,0.762,0.732,122.457
Kkiller,Musso,0.902,0.758,0.142,138.026
Everyday People,Sly & The Family Stone,0.807,0.497,0.765,114.524
Levitating,Jazzystics;Nenei,0.748,0.468,0.523,80.043
Till The End,Elephant Man,0.695,0.967,0.944,133.414
A Kiss To Build A Dream On - Single Version,Louis Armstrong,0.688,0.166,0.336,88.325
FRZZN,OZZIE;Teflon Sega,0.591,0.53,0.372,140.05
Carro Bicho,Tz da Coronel;PL ATL,0.735,0.551,0.349,101.086
Little Lotte / The Mirror (Angel Of Music),Andrew Lloyd Webber;Gerard Butler;Emmy Rossum,0.244,0.0513,0.104,70.89
cold weather,glass beach,0.341,0.661,0.675,154.99
Kiralık Aşk (Sen misin İlacım?),Aydilge,0.683,0.805,0.811,102.0
Keep It Real,Frankie Knuckles;Adeva,0.701,0.79,0.851,120.506
Love Games - Edit Album Version,Level 42,0.76,0.913,0.826,105.752
Golden Ring,George Jones;Tammy Wynette,0.585,0.46,0.588,83.373
Flying - Remastered,Anathema,0.376,0.374,0.0451,141.738
A media luz - Remastered,Libertad Lamarque,0.529,0.177,0.452,119.113
Hola Noviembre,Tan Bionica,0.649,0.835,0.525,120.068
Nada Se Compara a Ti - Ao Vivo,Taty Girl,0.572,0.846,0.684,87.411
黑色幽默,Jay Chou,0.603,0.292,0.231,127.905
Morenita - Matroda Remix,HUGEL;Cumbiafrica;Matroda,0.746,0.903,0.626,126.088
Valhalla,Imperatorz;Aversion,0.537,0.925,0.294,155.022
Sweeter,Jess Penner,0.686,0.377,0.551,92.042
I Was Made For Lovin' You,Scooter,0.607,0.974,0.891,147.375
Sundhari Neeyum Sundharan Njanum,Kamal Haasan;S. Janaki,0.831,0.368,0.696,112.882
Brand New Love [WANDS 第 5 期 ver.],WANDS,0.61,0.854,0.578,112.012
Replace Me (feat. Big Sean & Don Toliver),Nas;Big Sean;Don Toliver,0.674,0.782,0.694,84.927
Тёмная ночь,Oleg Pogudin,0.312,0.245,0.295,132.731
Jennifer's Body,Hole,0.401,0.863,0.55,81.65
Tatlı Dillim,Cem Karaca,0.325,0.476,0.47,104.562
The Humbling River,Puscifer,0.554,0.327,0.0341,144.171
Reatando a Amizade,Samuel Mariano,0.453,0.476,0.371,128.99
life goes on,Ollie,0.611,0.331,0.522,148.47
abc - The Wild Remix,GAYLE;The Wild,0.693,0.874,0.647,123.979
Solidão,Alceu Valença,0.568,0.48,0.646,118.215
La Poetisa,Saurom,0.526,0.806,0.464,130.051
Cry to Me,Solomon Burke,0.811,0.545,0.91,118.168
Summertime Is Here,Theo Parrish,0.414,0.519,0.423,94.716
See Me Now (For What It's Worth) - Radio Edit,Mark With a K,0.589,0.818,0.0936,148.022
Que Cañonazos,Alquimia La Sonora Del XXI,0.868,0.887,0.892,103.544
Best Guitar Picker,George Jones,0.806,0.58,0.806,112.916
Suffer The Children,Napalm Death,0.289,0.887,0.478,148.655
Só Depois,Grupo Revelação,0.578,0.811,0.92,88.852
Oasis - Kyco x Barkley Remix,The Him;Sorana;Kyco;Barkley,0.814,0.755,0.55,122.981
Razorblade,The Strokes,0.394,0.859,0.511,136.075
I Believe in You (Je crois en toi),Il Divo;Céline Dion,0.165,0.522,0.0571,179.276
Pink Soldiers,Boris Way,0.828,0.639,0.496,123.021
The Wheels on the Bus,The Little Sunshine Kids,0.931,0.413,0.961,96.057
Bass Slut - Alex BassJunkie & Riche Remix,S3RL;Alex Bassjunkie;Riche,0.714,0.994,0.672,174.967
Ella,Pitizion,0.798,0.876,0.759,91.837
Wander Alone,Tiger Army,0.426,0.969,0.632,108.851
Sol Clap,Quantic,0.985,0.651,0.405,115.347
I've Waited As Long As I Can,Tony Rice,0.556,0.578,0.906,127.336
Summer Rain,a-ha,0.557,0.606,0.187,104.965
Adulting,Psychostick,0.617,0.952,0.62,111.924
Es müsste immer Musik da sein,ZSK,0.452,0.986,0.418,104.822
The Girl from West Virginia,Doyle Lawson & Quicksilver,0.64,0.535,0.939,110.342
Better Days,LAKEY INSPIRED,0.808,0.403,0.513,131.952
Niebla Hirviendo,Ruido Blanco Hart;Ondas Alfa;Música de concentración profunda,0.249,0.995,0.00984,110.245
No Ufo's - Remix,Model 500,0.665,0.919,0.764,124.828
Loneliness,Kato,0.654,0.325,0.0997,143.929
Tortazos (Milonga),Lucio Demare,0.637,0.299,0.847,101.159
Smiling,Harry Gregson-Williams,0.244,0.0149,0.125,138.321
"Les Indes galantes, RCT 44: Ouverture",Jean-Philippe Rameau;Les Arts Florissants;William Christie,0.358,0.17,0.713,103.446
Here I Am Send Me - Live,Darlene Zschech,0.401,0.668,0.277,75.995
Buy Dirt,Jordan Davis;Luke Bryan,0.586,0.559,0.437,177.945
Crowhop,The Travelin' McCourys,0.495,0.73,0.915,126.277
Tschorny woron,Ivan Rebroff,0.226,0.382,0.447,81.16
Mi Cuarto 2,Jerry Di;Mariah Angeliq;Kevin Roldan;Guaynaa;Randy;Brytiago;Jd Pantoja;Cuna;Pablo C Fuentes;Neneto,0.861,0.605,0.741,97.049
"Bowling Song (Almighty Malachi, Professional Bowling God)",Stephen Lynch,0.493,0.691,0.76,127.059
Moments - Ben Böhmer & Nils Hoffmann Remix,Kidnap;Leo Stannard;Ben Böhmer;Nils Hoffmann,0.702,0.524,0.283,121.001
Too Hot to Handle,Eddie Noack,0.705,0.62,0.907,114.282
Emerald City,gavn!,0.385,0.439,0.417,74.963
Bay Hatch,Sonmi451,0.282,0.122,0.0375,154.493
Places,Martin Solveig;Ina Wroldsen,0.728,0.854,0.62,121.998
problems,44phantom,0.529,0.885,0.609,93.943
"This Is How You Walk On - From ""Gifted""",Gary Lightbody;Johnny McDaid,0.384,0.408,0.292,79.463
Wo Ajnabee,Mithoon;Shilpa Rao,0.82,0.795,0.779,104.988
Rock the Night,Europe,0.57,0.931,0.4,105.37
I Fought the Law,Masked Intruder,0.425,0.945,0.796,199.822
Rare,Nas,0.498,0.851,0.518,78.025
All Around Me - Crypton Remix,Envine;Crypton,0.445,0.93,0.2,94.997
Niño Bien,Tita Merello,0.751,0.406,0.809,138.906
Guerres de clocher,Québec Redneck Bluegrass Project,0.579,0.673,0.79,97.795
No Chance to Bloom,Modern Guns;Ijal Bulb,0.246,0.995,0.162,139.697
Sexy & Ready (2022 Remastered),T.O.K;Arif Cooper,0.427,0.9,0.873,95.688
Spaceship,TOB Duke,0.539,0.47,0.805,177.087
Have Yourself a Merry Little Christmas,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0.252,0.147,0.255,66.16
SOMEDAY,Eshconinco,0.802,0.622,0.245,84.0
My Room,Kyary Pamyu Pamyu,0.505,0.902,0.795,175.022
At Doom's Gate,Mick Gordon,0.577,0.647,0.236,160.987
The Slob Avatar,Patton Oswalt,0.697,0.855,0.419,102.244
Techno Music - M500 Version,Model 500,0.746,0.952,0.804,129.672
Faggot,Mindless Self Indulgence,0.63,0.76,0.561,152.042
Sunshine Of Your Love,Cream,0.683,0.522,0.764,115.072
Words (feat. Zara Larsson),Alesso;Zara Larsson,0.739,0.586,0.444,124.026
Cognitive Dissonance,The Black Dog,0.667,0.415,0.371,125.996
Чернобыль,gosha,0.761,0.843,0.396,104.971
i can't help it,JVKE,0.459,0.639,0.344,155.935
Be Rude To Your School,Plone,0.503,0.421,0.298,121.928
It Came Upon a Midnight Clear,Josh Groban,0.429,0.28,0.164,119.856
Crossroads - Live,Cream,0.391,0.756,0.839,131.648
Top Ghur,Ai Milly;DethWrld,0.87,0.592,0.604,100.017
Casa do Rei,Gerson Rufino,0.62,0.698,0.468,141.702
Angel - Jerome Sydenham Vocal Dub,Carl Craig;Jerome Sydenham,0.804,0.755,0.335,127.003
Marigold,Aimyon,0.545,0.745,0.413,106.094
Reflecting Pool,Brian Crain,0.182,0.119,0.0748,163.508
Patient Number 9 (feat. Jeff Beck),Ozzy Osbourne;Jeff Beck,0.316,0.869,0.302,169.916
Alberto Balsalm,Aphex Twin,0.792,0.599,0.57,93.994
Zehnaseeb,Vishal-Shekhar;Chinmayi Sripada;Shekhar Ravjiani,0.623,0.595,0.418,78.029
We've Got A Good Thing Going,Sugar Minott,0.849,0.525,0.877,78.741
Dame Tu Fyah,Escala Mercalli;Efe Frans;Filip Mota,0.754,0.837,0.88,98.028
Não Estraga Minha Sexta - Ao Vivo,Douglas & Vinicius,0.682,0.851,0.765,116.974
Angst,Rammstein,0.639,0.86,0.328,112.025
Better Now,Oh Wonder,0.569,0.364,0.507,114.181
Beat Oriental,DJ Blakes;Mc Magrinho;Delano,0.675,0.884,0.428,130.045
Party All Night Long - Original Mix,Paul Johnson,0.879,0.576,0.527,127.979
Refém,3030;Lauana Prado,0.774,0.652,0.862,145.01
Magia Blanca,Enrique Guzman,0.636,0.647,0.883,138.493
L'histoire commence comme ça (à écouter dans l’ordre),KIKESA,0.572,0.438,0.624,85.925
Army,Besomorph;Arcando;Neoni,0.523,0.699,0.132,74.983
